ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
ISR;57,57;97;62,71;59;57,52;45;47,17;132;76,14;58;44,3;134;MENA;Israël;Israel;Israel;Israel ;إسرائيل;اسرائیل;2023;86;-11;59,62;-2,05
CAF;57,56;98;53,39;99;49,02;74;63,88;86;66,56;78;54,97;112;Afrique;République centrafricaine;Central African Republic;República Centroafricana;República Centro-Africana ;جمهورية أفريقيا الوسطى;جمهوری آفریقای مرکزی;2023;101;3;56,96;0,6
HTI;57,38;99;59,38;71;48,18;79;69,95;61;73,38;69;36,02;152;Amériques;Haïti;Haiti;Haití;Haiti ;هايتي;هايیتی;2023;70;-29;64,55;-7,17
MDV;56,93;100;53,75;97;32,84;161;59,91;98;55,68;124;82,48;57;Asie-Pacifique;Maldives;Maldives;Maldivas;Maldivas ;المالديف;مالدیو;2023;87;-13;59,55;-2,62
MDG;56,66;101;49,03;117;36,71;139;60,69;94;58,46;109;78,39;75;Afrique;Madagascar;Madagascar;Madagascar;Madagascar ;مدغشقر;ماداگاسکار;2023;98;-3;58,02;-1,36
MOZ;56,13;102;49,17;115;46,51;91;66,98;70;65,28;83;52,73;119;Afrique;Mozambique;Mozambique;Mozambique;Moçambique ;موزمبيق;موزامبیک;2023;116;14;49,89;6,24
PRY;55,96;103;57,06;78;42,16;117;70,85;56;61,25;94;48,51;129;Amériques;Paraguay;Paraguay;Paraguay;Paraguai ;باراغواي;پاراگوئه;2023;96;-7;58,36;-2,4
SEN;55,82;104;56,43;79;46,08;93;55,66;115;65,42;82;55,51;111;Afrique;Sénégal;Senegal;Senegal;Senegal ;السنغال;سنگال;2023;73;-31;63,07;-7,25
QAT;55,28;105;53,13;102;50;69;38,21;151;51,14;133;83,93;47;MENA;Qatar;Qatar;Catar;Catar ;قطر;قطر;2023;119;14;49,03;6,25
THA;55,24;106;59,53;70;51,47;63;51,42;124;56,25;120;57,54;109;Asie-Pacifique;Thaïlande;Thailand;Tailandia;Tailândia ;تايلاند;تایلند;2023;115;9;50,15;5,09
GRC;55,2;107;53,31;100;37,66;134;61,36;92;52,23;130;71,44;91;UE Balkans;Grèce;Greece;Grecia;Grécia ;اليونان;یونان;2023;108;1;55,52;-0,32
IDN;54,83;108;55,16;91;44,61;106;63,92;85;55,97;123;54,49;115;Asie-Pacifique;Indonésie;Indonesia;Indonesia;Indonésia ;أندونيسيا;اندونزی;2023;117;9;49,27;5,56
TCD;53,73;109;53,3;101;52,94;57;58,63;102;69,16;75;34,62;154;Afrique;Tchad;Chad;Chad;Chade ;تشاد;چاد;2023;104;-5;56,18;-2,45
PER;52,74;110;57,99;75;42,81;115;63,94;84;56,94;116;42;140;Amériques;Pérou;Peru;Peru;Peru ;بيرو;پرو;2023;77;-33;61,75;-9,01
SWZ;52,66;111;46,61;126;43,98;111;45,28;137;56,01;122;71,44;91;Afrique;Swaziland;Eswatini;Esuatini;Eswatini ;إسواتيني;اسواتینی ;2023;131;20;46,42;6,24
BEN;52,44;112;48,98;119;39,83;125;56,01;111;63,49;89;53,9;117;Afrique;Bénin;Benin;Benín;Benim ;بنين;بنین;2023;121;9;48,39;4,05
MLI;52,29;113;52,63;105;38,82;131;55,09;117;55;125;59,88;105;Afrique;Mali;Mali;Malí;Mali ;مالي;مالی;2023;111;-2;54,48;-2,19
BDI;52,14;114;51,5;109;48,82;75;55,41;116;52,12;131;52,84;118;Afrique;Burundi;Burundi;Burundi;Burundi ;بوروندي;بروندی;2023;107;-7;55,74;-3,6
SLV;51,36;115;38,13;157;41,47;119;55,85;114;49,32;137;72,03;89;Amériques;Salvador;El Salvador;El Salvador;El Salvador ;السلفادور;ال‌سالوادور;2023;112;-3;54,09;-2,73
